mass_mev,U2=1.00e-07,U2=1.26e-07,U2=1.58e-07,U2=2.00e-07,U2=2.51e-07,U2=3.16e-07,U2=3.98e-07,U2=5.01e-07,U2=6.31e-07,U2=7.94e-07,U2=1.00e-06,U2=1.26e-06,U2=1.58e-06,U2=2.00e-06,U2=2.51e-06,U2=3.16e-06,U2=3.98e-06,U2=5.01e-06,U2=6.31e-06,U2=7.94e-06,U2=1.00e-05,U2=1.26e-05,U2=1.58e-05,U2=2.00e-05,U2=2.51e-05,U2=3.16e-05,U2=3.98e-05,U2=5.01e-05,U2=6.31e-05,U2=7.94e-05,U2=1.00e-04,U2=1.26e-04,U2=1.58e-04,U2=2.00e-04,U2=2.51e-04,U2=3.16e-04,U2=3.98e-04,U2=5.01e-04,U2=6.31e-04,U2=7.94e-04,U2=1.00e-03,U2=1.26e-03,U2=1.58e-03,U2=2.00e-03,U2=2.51e-03,U2=3.16e-03,U2=3.98e-03,U2=5.01e-03,U2=6.31e-03,U2=7.94e-03,U2=1.00e-02,U2=1.26e-02,U2=1.58e-02,U2=2.00e-02,U2=2.51e-02,U2=3.16e-02,U2=3.98e-02,U2=5.01e-02,U2=6.31e-02,U2=7.94e-02,U2=1.00e-01,U2=1.26e-01,U2=1.58e-01,U2=2.00e-01,U2=2.51e-01,U2=3.16e-01,U2=3.98e-01,U2=5.01e-01,U2=6.31e-01,U2=7.94e-01,U2=1.00e+00
12.600000,95.510000,95.737000,95.606000,95.611000,95.534000,95.500000,95.520000,95.610000,95.612000,95.459000,95.559000,95.588000,95.572000,95.672000,95.566000,95.607000,95.617000,95.496000,95.533000,95.626000,95.492000,95.471000,95.603000,95.421000,95.430000,95.421000,95.429000,95.254000,95.252000,95.360000,95.207000,95.178000,95.176000,94.843000,94.914000,94.856000,94.720000,94.515000,94.264000,94.112000,94.103000,93.779000,93.557000,93.519000,93.333000,93.027000,92.868000,92.839000,92.675000,92.650000,92.487000,92.528000,92.583000,92.571000,92.439000,92.584000,92.522000,92.444000,92.537000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.800000,95.768000,95.681000,95.743000,95.632000,95.727000,95.616000,95.523000,95.739000,95.594000,95.627000,95.606000,95.662000,95.730000,95.792000,95.614000,95.588000,95.676000,95.596000,95.555000,95.582000,95.568000,95.620000,95.525000,95.596000,95.511000,95.379000,95.471000,95.404000,95.396000,95.389000,95.224000,95.182000,95.081000,94.941000,94.889000,94.807000,94.643000,94.640000,94.410000,94.183000,93.791000,93.877000,93.694000,93.592000,93.373000,93.312000,93.042000,93.059000,92.980000,92.917000,92.875000,92.895000,92.730000,92.741000,92.841000,92.752000,92.882000,92.756000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.000000,95.662000,95.661000,95.725000,95.709000,95.633000,95.800000,95.602000,95.620000,95.761000,95.759000,95.739000,95.668000,95.700000,95.700000,95.687000,95.719000,95.637000,95.683000,95.728000,95.703000,95.615000,95.448000,95.515000,95.656000,95.556000,95.427000,95.605000,95.376000,95.434000,95.457000,95.364000,95.200000,95.149000,94.986000,94.832000,94.944000,94.657000,94.566000,94.433000,94.281000,94.140000,93.930000,93.860000,93.750000,93.569000,93.419000,93.186000,93.179000,93.473000,93.112000,93.267000,93.140000,92.983000,93.056000,93.055000,93.037000,93.126000,93.061000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.200000,95.626000,95.711000,95.635000,95.696000,95.662000,95.742000,95.610000,95.634000,95.756000,95.660000,95.748000,95.668000,95.793000,95.702000,95.659000,95.821000,95.606000,95.546000,95.592000,95.650000,95.569000,95.631000,95.592000,95.464000,95.476000,95.506000,95.407000,95.532000,95.441000,95.442000,95.277000,95.211000,95.227000,95.104000,94.978000,94.911000,94.747000,94.538000,94.566000,94.228000,94.171000,94.141000,94.023000,93.755000,93.673000,93.609000,93.457000,93.517000,93.373000,93.319000,93.462000,93.336000,93.274000,93.257000,93.285000,93.314000,93.283000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.400000,95.641000,95.711000,95.758000,95.816000,95.590000,95.644000,95.785000,95.721000,95.746000,95.745000,95.654000,95.776000,95.691000,95.726000,95.714000,95.720000,95.595000,95.717000,95.557000,95.635000,95.743000,95.723000,95.666000,95.539000,95.541000,95.572000,95.466000,95.527000,95.371000,95.419000,95.337000,95.148000,95.074000,94.931000,94.935000,94.841000,94.870000,94.601000,94.572000,94.360000,94.315000,94.042000,94.017000,93.776000,93.885000,93.730000,93.671000,93.642000,93.664000,93.474000,93.625000,93.697000,93.529000,93.530000,93.589000,93.590000,93.712000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.600000,95.815000,95.839000,95.645000,95.755000,95.721000,95.881000,95.774000,95.783000,95.695000,95.827000,95.760000,95.695000,95.836000,95.725000,95.605000,95.746000,95.758000,95.703000,95.698000,95.627000,95.660000,95.705000,95.584000,95.750000,95.728000,95.566000,95.591000,95.526000,95.623000,95.406000,95.438000,95.375000,95.218000,95.223000,95.105000,94.974000,94.802000,94.628000,94.511000,94.395000,94.345000,94.076000,94.092000,94.005000,93.965000,93.800000,94.011000,93.761000,93.809000,93.833000,93.728000,93.852000,93.928000,93.762000,93.651000,93.819000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.800000,95.872000,95.689000,95.760000,95.699000,95.751000,95.694000,95.754000,95.780000,95.847000,95.814000,95.739000,95.716000,95.760000,95.734000,95.684000,95.715000,95.806000,95.727000,95.768000,95.748000,95.662000,95.725000,95.680000,95.757000,95.537000,95.637000,95.584000,95.551000,95.523000,95.407000,95.286000,95.344000,95.201000,95.192000,95.076000,94.916000,94.869000,94.811000,94.537000,94.561000,94.304000,94.279000,94.209000,94.186000,94.027000,93.977000,93.861000,93.986000,93.936000,93.987000,94.006000,93.865000,93.743000,93.915000,94.076000,93.993000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.000000,95.770000,95.803000,95.836000,95.793000,95.764000,95.821000,95.782000,95.840000,95.772000,95.812000,95.742000,95.826000,95.765000,95.747000,95.819000,95.683000,95.880000,95.779000,95.751000,95.727000,95.685000,95.797000,95.633000,95.756000,95.671000,95.596000,95.587000,95.574000,95.583000,95.432000,95.354000,95.391000,95.168000,95.045000,95.136000,95.012000,94.950000,94.799000,94.712000,94.768000,94.576000,94.500000,94.370000,94.315000,94.297000,94.167000,94.188000,94.212000,94.250000,94.137000,94.116000,94.251000,94.204000,94.046000,94.182000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.200000,95.823000,95.857000,95.899000,95.818000,95.877000,95.726000,95.899000,95.905000,95.830000,95.763000,95.827000,95.779000,95.760000,95.706000,95.845000,95.817000,95.760000,95.798000,95.848000,95.868000,95.711000,95.776000,95.694000,95.609000,95.661000,95.565000,95.653000,95.511000,95.524000,95.409000,95.340000,95.310000,95.270000,95.122000,95.029000,95.005000,94.994000,94.674000,94.856000,94.569000,94.736000,94.552000,94.433000,94.419000,94.491000,94.363000,94.357000,94.467000,94.443000,94.425000,94.438000,94.406000,94.452000,94.364000,94.262000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.400000,95.891000,95.831000,95.802000,95.881000,95.854000,95.828000,95.830000,95.835000,95.841000,95.944000,95.824000,95.725000,95.695000,95.700000,95.745000,95.762000,95.788000,95.809000,95.696000,95.641000,95.854000,95.697000,95.690000,95.641000,95.616000,95.637000,95.543000,95.629000,95.617000,95.384000,95.216000,95.340000,95.141000,95.291000,95.170000,95.028000,94.935000,94.795000,94.715000,94.711000,94.754000,94.579000,94.679000,94.565000,94.613000,94.495000,94.643000,94.549000,94.485000,94.497000,94.536000,94.568000,94.518000,94.482000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.600000,95.809000,95.947000,95.959000,95.902000,95.859000,95.944000,95.831000,95.916000,95.909000,95.948000,95.752000,95.943000,95.873000,95.943000,95.846000,95.913000,95.957000,95.801000,95.876000,95.782000,95.836000,95.821000,95.673000,95.735000,95.738000,95.740000,95.579000,95.580000,95.619000,95.362000,95.534000,95.361000,95.350000,95.229000,95.230000,95.151000,95.184000,95.179000,94.885000,94.959000,94.884000,95.030000,94.818000,94.732000,94.766000,94.745000,94.742000,94.835000,94.660000,94.778000,94.676000,94.762000,94.785000,94.646000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.800000,95.893000,95.846000,95.914000,95.858000,95.970000,95.865000,95.897000,95.850000,95.853000,95.795000,95.927000,95.894000,95.908000,95.926000,95.813000,95.848000,95.839000,95.717000,95.833000,95.863000,95.820000,95.694000,95.680000,95.784000,95.831000,95.648000,95.642000,95.507000,95.627000,95.467000,95.551000,95.417000,95.522000,95.298000,95.266000,95.197000,95.108000,95.128000,95.033000,95.014000,94.959000,94.949000,94.988000,94.900000,94.829000,94.937000,94.976000,94.916000,94.922000,94.844000,94.752000,94.875000,94.988000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.000000,95.879000,95.903000,95.845000,95.939000,95.850000,96.010000,95.823000,95.851000,95.804000,95.929000,95.954000,95.784000,95.789000,95.764000,95.940000,95.822000,95.920000,95.863000,95.659000,95.828000,95.737000,95.670000,95.810000,95.757000,95.749000,95.686000,95.704000,95.590000,95.651000,95.474000,95.548000,95.368000,95.555000,95.398000,95.318000,95.227000,95.332000,95.271000,95.201000,95.106000,95.042000,95.111000,95.047000,95.187000,95.006000,95.053000,95.149000,95.070000,95.059000,95.111000,95.152000,95.087000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
