mass_mev,U2=1.00e-07,U2=1.26e-07,U2=1.58e-07,U2=2.00e-07,U2=2.51e-07,U2=3.16e-07,U2=3.98e-07,U2=5.01e-07,U2=6.31e-07,U2=7.94e-07,U2=1.00e-06,U2=1.26e-06,U2=1.58e-06,U2=2.00e-06,U2=2.51e-06,U2=3.16e-06,U2=3.98e-06,U2=5.01e-06,U2=6.31e-06,U2=7.94e-06,U2=1.00e-05,U2=1.26e-05,U2=1.58e-05,U2=2.00e-05,U2=2.51e-05,U2=3.16e-05,U2=3.98e-05,U2=5.01e-05,U2=6.31e-05,U2=7.94e-05,U2=1.00e-04,U2=1.26e-04,U2=1.58e-04,U2=2.00e-04,U2=2.51e-04,U2=3.16e-04,U2=3.98e-04,U2=5.01e-04,U2=6.31e-04,U2=7.94e-04,U2=1.00e-03,U2=1.26e-03,U2=1.58e-03,U2=2.00e-03,U2=2.51e-03,U2=3.16e-03,U2=3.98e-03,U2=5.01e-03,U2=6.31e-03,U2=7.94e-03,U2=1.00e-02,U2=1.26e-02,U2=1.58e-02,U2=2.00e-02,U2=2.51e-02,U2=3.16e-02,U2=3.98e-02,U2=5.01e-02,U2=6.31e-02,U2=7.94e-02,U2=1.00e-01
4.000000,92.807000,91.396000,90.767000,91.373000,91.833000,91.769000,91.739000,91.874000,91.680000,91.848000,91.666000,91.640000,91.734000,91.793000,91.947000,91.732000,91.758000,91.730000,91.774000,91.640000,91.716000,91.863000,91.813000,91.885000,91.753000,91.690000,91.785000,91.609000,91.664000,91.697000,91.697000,91.570000,91.700000,91.727000,91.820000,91.837000,91.690000,91.832000,91.713000,91.705000,91.685000,91.774000,91.751000,91.751000,91.603000,91.400000,91.481000,91.347000,91.324000,91.197000,91.169000,90.972000,90.838000,90.631000,90.343000,89.955000,89.789000,89.302000,88.832000,88.275000,87.681000
4.200000,91.667000,91.716000,92.193000,92.328000,92.473000,92.280000,92.367000,92.412000,92.351000,92.348000,92.319000,92.408000,92.470000,92.314000,92.297000,92.313000,92.340000,92.416000,92.228000,92.322000,92.203000,92.326000,92.351000,92.223000,92.558000,92.480000,92.503000,92.287000,92.345000,92.491000,92.319000,92.304000,92.340000,92.367000,92.277000,92.167000,92.337000,92.246000,92.260000,92.239000,92.234000,92.247000,92.146000,92.229000,92.201000,91.996000,91.997000,91.850000,91.806000,91.696000,91.646000,91.486000,91.145000,91.105000,90.803000,90.435000,90.131000,89.787000,88.901000,88.434000,87.893000
4.400000,92.429000,93.056000,92.920000,92.840000,92.682000,92.810000,92.828000,92.709000,93.042000,92.733000,92.790000,92.811000,92.792000,92.772000,92.783000,92.900000,92.833000,92.794000,92.686000,92.746000,92.795000,92.896000,92.990000,92.914000,92.739000,92.866000,92.931000,92.884000,92.727000,92.827000,93.038000,92.808000,92.871000,92.825000,92.821000,92.911000,92.823000,92.926000,92.805000,92.797000,92.852000,92.887000,92.638000,92.630000,92.609000,92.683000,92.470000,92.395000,92.294000,92.162000,92.022000,91.723000,91.713000,91.331000,91.019000,90.662000,90.433000,89.582000,89.242000,88.727000,87.945000
4.600000,93.430000,93.412000,93.473000,93.314000,93.223000,93.308000,93.341000,93.352000,93.278000,93.282000,93.263000,93.326000,93.225000,93.245000,93.264000,93.523000,93.376000,93.328000,93.290000,93.329000,93.332000,93.318000,93.367000,93.379000,93.226000,93.271000,93.193000,93.254000,93.365000,93.335000,93.251000,93.308000,93.235000,93.284000,93.294000,93.171000,93.354000,93.235000,93.326000,93.105000,93.135000,93.220000,93.108000,92.964000,92.875000,92.969000,92.933000,92.716000,92.673000,92.480000,92.285000,92.152000,91.956000,91.570000,91.250000,90.809000,90.475000,89.979000,89.595000,88.781000,88.013000
4.800000,93.926000,93.573000,93.694000,93.764000,93.742000,93.769000,93.786000,93.606000,93.722000,93.812000,93.639000,93.788000,93.718000,93.736000,93.616000,93.807000,93.683000,93.674000,93.558000,93.786000,93.767000,93.703000,93.725000,93.600000,93.829000,93.596000,93.810000,93.615000,93.611000,93.783000,93.726000,93.519000,93.758000,93.640000,93.667000,93.655000,93.650000,93.663000,93.593000,93.372000,93.537000,93.548000,93.536000,93.500000,93.517000,93.208000,93.139000,93.065000,92.781000,92.753000,92.499000,92.270000,92.035000,91.783000,91.248000,91.077000,90.678000,90.035000,89.392000,88.747000,88.294000
5.000000,93.902000,93.965000,94.194000,93.858000,94.178000,94.099000,94.005000,94.033000,93.849000,93.951000,93.987000,94.136000,93.898000,94.139000,94.141000,94.030000,94.036000,94.057000,94.018000,94.041000,94.050000,93.963000,93.980000,94.022000,93.986000,94.045000,93.971000,94.052000,93.883000,94.159000,94.080000,94.053000,94.089000,94.075000,94.174000,93.955000,94.019000,93.936000,93.868000,93.744000,93.823000,93.798000,93.667000,93.666000,93.652000,93.498000,93.347000,93.198000,92.973000,92.979000,92.745000,92.574000,92.202000,91.908000,91.657000,91.090000,90.685000,90.146000,89.596000,88.819000,88.151000
5.200000,94.330000,94.226000,94.447000,94.375000,94.340000,94.382000,94.367000,94.370000,94.312000,94.404000,94.289000,94.370000,94.418000,94.275000,94.284000,94.256000,94.307000,94.246000,94.347000,94.304000,94.288000,94.325000,94.264000,94.457000,94.428000,94.328000,94.434000,94.339000,94.389000,94.333000,94.268000,94.244000,94.350000,94.318000,94.319000,94.238000,94.182000,94.240000,94.196000,94.103000,94.043000,94.149000,93.927000,93.973000,93.967000,93.733000,93.640000,93.609000,93.451000,93.173000,92.961000,92.708000,92.262000,92.046000,91.554000,91.274000,90.672000,90.124000,89.420000,88.787000,88.212000
5.400000,94.660000,94.754000,94.541000,94.664000,94.609000,94.499000,94.566000,94.656000,94.551000,94.774000,94.480000,94.517000,94.614000,94.578000,94.638000,94.846000,94.570000,94.611000,94.681000,94.802000,94.557000,94.706000,94.649000,94.645000,94.633000,94.715000,94.680000,94.620000,94.562000,94.816000,94.643000,94.590000,94.605000,94.636000,94.466000,94.614000,94.511000,94.597000,94.413000,94.403000,94.392000,94.325000,94.443000,94.134000,94.180000,93.901000,93.993000,93.756000,93.491000,93.487000,93.093000,92.754000,92.552000,92.178000,91.835000,91.215000,90.724000,90.329000,89.719000,88.970000,88.322000
5.600000,94.838000,94.790000,94.875000,94.873000,94.885000,94.821000,94.971000,94.901000,94.900000,94.751000,94.760000,94.924000,94.712000,94.901000,94.836000,94.834000,94.826000,94.901000,94.814000,94.755000,94.766000,94.783000,94.761000,94.951000,94.863000,94.863000,94.759000,94.939000,94.953000,94.833000,94.741000,94.858000,94.825000,94.919000,94.818000,94.799000,94.733000,94.770000,94.715000,94.612000,94.619000,94.665000,94.456000,94.256000,94.405000,94.155000,94.154000,93.867000,93.588000,93.345000,93.284000,92.886000,92.567000,92.178000,91.946000,91.388000,90.912000,90.235000,89.764000,89.143000,88.524000
5.800000,95.191000,95.151000,95.316000,95.255000,95.172000,95.027000,95.115000,95.193000,95.044000,95.112000,95.175000,95.047000,95.034000,95.032000,95.134000,95.097000,94.985000,95.134000,95.061000,95.134000,95.178000,95.173000,95.052000,95.138000,95.056000,95.127000,95.022000,95.149000,95.204000,95.134000,95.077000,95.048000,95.120000,94.962000,95.147000,95.107000,94.986000,94.924000,94.950000,94.876000,94.889000,94.768000,94.713000,94.490000,94.529000,94.293000,94.253000,94.141000,93.917000,93.654000,93.403000,93.060000,92.847000,92.387000,91.868000,91.557000,90.766000,90.513000,89.759000,89.253000,88.720000
